name,designation,ra,ra_err,dec,dec_err,w1_mean,w1_mean_err,w1_median,w1_median_err,w1_min,w1_min_err,w1_max,w1_max_err,w1_snr,w1_snr_min,w1_snr_max,w1_num_pts,w1_epochs,w1_amplitude,w1_var_ratio,w1_mean_median,w1_M_value,w1_fap,w1_sde,w1_power,w1_mean_power,w1_median_power,w1_period,w1_baseline,w1_sigp,w1_in_sigp,w1_brighter_sigp,w1_fainter_sigp,w2_mean,w2_mean_err,w2_median,w2_median_err,w2_min,w2_min_err,w2_max,w2_max_err,w2_snr,w2_snr_min,w2_snr_max,w2_num_pts,w2_epochs,w2_amplitude,w2_var_ratio,w2_mean_median,w2_M_value,w2_fap,w2_sde,w2_power,w2_mean_power,w2_median_power,w2_period,w2_baseline,w2_sigp,w2_in_sigp,w2_brighter_sigp,w2_fainter_sigp,delta_time,cadence,epochs,mean_offset,qual_flag,pmra,pmra_err,pmdec,pmdec_err,wiseview
3134573102350189568,J073109.09+004607.11,112.787868,0.145878,0.768764,0.16277,13.891,0.052,13.883,0.051,13.728,0.043,14.085,0.092,21.103,11.9,25.0,267,21,0.357,0.98,0.008,0.566,0.002,11.21,0.0958512687082421,0.0081160449948694,0.0061716761262992,0.1177287588999579,13.883,0.058,59.93,15.73,24.34,13.8,0.146,13.789,0.138,13.426,0.088,14.217,0.33,7.755,-1.1,12.4,262,21,0.791,0.87,0.011,0.541,0.002,11.66,0.0995153699262847,0.0084747538913607,0.0066609284118671,0.0269929869230408,13.765,0.14,62.55,13.48,22.1,4941.379,0.13,21,0.6061642609386365,BB,8.341040324327597,0.31014767,-54.173240547945774,0.2677629,http://byw.tools/wiseview#ra=112.7878631&dec=0.7686413&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
5533811652888087680,J075655.93-430310.76,119.23304,0.105999,-43.052995,0.119281,13.403,0.04,13.401,0.039,13.196,0.032,13.583,0.086,27.519,12.6,34.2,551,22,0.387,0.99,0.002,0.47,0.01,10.51,0.0418044632461511,0.0036921327168964,0.0027495981029543,0.0389722079183324,13.402,0.046,57.83,20.64,19.57,13.5,0.109,13.502,0.103,13.085,0.067,13.888,0.498,10.446,2.2,16.3,549,22,0.803,1.0,-0.002,0.481,0.009,12.1,0.0492741321413146,0.0038760678473754,0.0029405388593805,0.013056925120093,13.503,0.113,62.63,17.79,17.26,4941.872,0.066,22,0.1703729389633847,BB,-11.558032581417436,0.54660547,0.2172893793034825,0.53910166,http://byw.tools/wiseview#ra=119.2330351&dec=-43.0529894&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
5516024372246529152,J081722.17-475533.09,124.342378,0.119745,-47.925872,0.134484,13.512,0.044,13.509,0.043,13.322,0.035,13.715,0.191,24.988,5.7,31.2,558,22,0.393,0.94,0.003,0.524,0.006,12.31,0.0470539916441274,0.0036606778228341,0.0027828536990134,0.0384550990267239,13.506,0.048,53.42,20.67,23.64,13.539,0.114,13.534,0.108,13.154,0.071,13.929,0.405,9.962,-0.1,15.2,559,22,0.775,0.91,0.005,0.51,0.002,11.92,0.0536969552253706,0.0042894298774847,0.0032345910287601,0.0110187566703054,13.518,0.116,61.82,15.59,20.49,4941.224,0.066,22,0.2114364741219836,BB,-4.572961258784059,0.1898986,-0.0782837554772336,0.20283593,http://byw.tools/wiseview#ra=124.342362&dec=-47.9258574&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
5515511415711444224,J082506.10-483912.65,126.27542,0.057184,-48.653569,0.063301,12.183,0.025,12.184,0.024,12.094,0.02,12.27,0.04,44.23,27.3,53.2,559,22,0.176,1.0,-0.001,0.489,0.007,11.56,0.0441111429858502,0.0036266493298441,0.0027448594110719,0.0125168514710515,12.179,0.033,74.61,9.5,12.44,12.045,0.04,12.044,0.038,11.875,0.031,12.192,0.088,27.879,12.4,35.1,556,22,0.317,0.85,0.001,0.467,0.0,13.63,0.049347297517051,0.00342267790527,0.0025674361974682,0.0131068080868405,12.05,0.052,69.08,14.68,12.26,4948.77,0.066,22,0.1063268621410529,BB,13.63785117756614,0.32513374,-81.10377683464668,0.3885882,http://byw.tools/wiseview#ra=126.2754048&dec=-48.653514&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
5189465123829544320,J084650.99-865954.15,131.71142,0.057445,-86.99836,0.052312,12.01,0.023,12.009,0.023,11.918,0.019,12.078,0.043,47.187,25.5,58.1,719,22,0.16,0.92,0.001,0.431,0.0,13.65,0.0408184157741641,0.0028806795110258,0.0021814068400107,0.0218133218718643,12.013,0.032,82.54,8.05,7.5,11.914,0.036,11.913,0.035,11.785,0.028,12.031,0.062,30.232,17.4,38.5,718,22,0.246,1.0,0.001,0.48,0.007,11.68,0.035513073120991,0.0028358694391134,0.0021087361465915,0.0222987358945205,11.923,0.05,78.04,13.23,6.68,4915.139,0.065,22,0.1050890783724915,BB,-59.80652060099448,0.13234346,9.224904104451303,0.12697351,http://byw.tools/wiseview#ra=131.7124425&dec=-86.9983747&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1023972670688790272,J090749.48+551555.73,136.956194,0.083868,55.265501,0.092632,13.02,0.033,13.016,0.032,12.866,0.027,13.127,0.055,33.322,19.8,39.6,309,21,0.261,0.86,0.004,0.425,0.0,14.2,0.0954234197349615,0.0064884934332978,0.0049446383453237,0.0158510039850925,13.014,0.04,69.77,10.29,19.29,12.967,0.072,12.967,0.069,12.681,0.052,13.199,0.142,15.458,7.7,21.1,309,21,0.518,0.73,0.0,0.448,0.006,10.9,0.0744511589494343,0.0064953488294848,0.0049319947496162,0.0209248374852265,12.983,0.081,72.67,16.4,10.29,4941.346,0.066,21,0.1355019208569426,BB,9.87729695337105,0.4896532,18.804206710699106,0.35058793,http://byw.tools/wiseview#ra=136.9561837&dec=55.2654792&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
5304079899550992512,J090808.36-563352.36,137.034736,0.218891,-56.564571,0.241019,14.412,0.076,14.4,0.072,14.092,0.052,14.759,0.307,14.807,3.5,20.7,563,22,0.667,0.88,0.012,0.538,0.005,12.28,0.0440470670841716,0.0034531909122486,0.0026406116962385,0.0295747677044227,14.394,0.078,52.11,20.18,26.49,14.506,0.251,14.479,0.228,13.826,0.108,15.299,0.538,4.54,-6.1,10.0,568,22,1.473,1.0,0.027,0.557,0.004,11.24,0.0511185573004684,0.0043687739073156,0.0033483894905,0.039616726080077,14.432,0.239,62.63,10.88,26.14,4735.022,0.066,22,0.4061158435618384,BB,-38.37484967817522,0.5892946,25.605890770539627,0.50521344,http://byw.tools/wiseview#ra=137.0348276&dec=-56.5645452&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
5311351966372274048,J090816.54-532937.33,137.06889,0.260544,-53.493692,0.292134,14.626,0.089,14.607,0.084,14.119,0.058,15.097,0.212,12.66,5.1,18.8,564,22,0.978,0.98,0.019,0.501,0.0,15.26,0.0591714708939974,0.0037074959036476,0.0028034840737005,0.0218995614300541,14.581,0.09,42.76,20.24,35.43,14.676,0.291,14.657,0.291,13.527,0.108,15.476,0.535,3.656,-1.7,10.1,573,22,1.949,0.9,0.019,0.42,0.017,9.26,0.066370889060211,0.0070620798126209,0.0055737860324501,0.0188841840013309,14.628,0.275,65.1,13.44,21.47,4738.617,0.066,22,0.3552559157512734,BB,-24.11040496825791,0.58020353,6.86179746151944,0.74678946,http://byw.tools/wiseview#ra=137.0689366&dec=-53.4937039&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
5623144533098705536,J090855.30-365032.54,137.230364,0.323204,-36.842366,0.365522,14.974,0.108,14.958,0.102,14.572,0.071,15.381,0.232,10.411,4.7,15.3,365,22,0.809,0.87,0.016,0.523,0.001,13.79,0.0780369154641496,0.0054732707649431,0.0041538101738926,0.0147086085747193,14.924,0.113,54.77,14.17,30.52,14.955,0.365,14.963,0.365,14.104,0.164,15.657,0.543,2.557,-7.0,6.6,367,22,1.553,0.89,-0.008,0.447,0.0,13.31,0.1119840808320702,0.0084207118942961,0.0065830699920753,0.0174204271538046,14.92,0.345,77.93,8.99,13.08,4946.58,0.066,22,0.411973071208472,BB,-13.751282946520956,0.36281338,24.729675791165484,0.41225484,http://byw.tools/wiseview#ra=137.2304025&dec=-36.842371&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
5679143652439732480,J090938.54-210958.87,137.410551,0.309219,-21.166373,0.350453,14.966,0.106,14.959,0.101,14.582,0.077,15.332,0.207,10.592,5.3,14.1,292,22,0.75,0.95,0.007,0.497,0.001,12.73,0.0940969090146881,0.0071367638941483,0.0054186985503972,0.0110154021721166,14.981,0.113,63.05,20.34,15.59,14.84,0.337,14.822,0.337,14.12,0.16,15.491,0.528,2.924,-7.4,6.8,293,22,1.371,0.91,0.018,0.488,0.0,14.55,0.1422583597364071,0.0095581569389847,0.0073354821332333,0.0377483278493684,14.834,0.315,67.46,14.24,17.63,4940.625,0.129,22,0.4948754388510702,BB,26.40875950604116,0.15089604,-86.56574818191207,0.124376,http://byw.tools/wiseview#ra=137.4105713&dec=-21.1663523&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
